"satisfaction_level","last_evaluation","number_project","average_monthly_hours","time_spend_company","Work_accident","left","promotion_last_5years","department","salary"
0.44,0.48,2,153,3,0,1,0,"sales",1
0.81,0.7,5,270,3,0,1,0,"technical",1
0.41,0.51,2,157,3,0,1,0,"sales",1
0.75,0.85,5,223,5,0,1,0,"sales",1
0.4,0.5,2,159,3,1,1,0,"sales",1
0.92,0.98,5,224,5,1,0,0,"sales",1
0.14,0.79,6,305,4,0,1,0,"sales",1
0.87,0.9,4,234,5,0,1,0,"sales",1
0.41,0.52,2,143,3,0,1,0,"sales",1
0.5,0.55,2,139,3,1,0,0,"sales",1
0.8,0.8,4,239,5,1,1,0,"sales",1
0.45,0.44,2,128,3,0,1,0,"accounting",1
0.41,0.48,2,132,3,0,0,0,"accounting",1
0.43,0.55,2,134,3,0,1,0,"hr",1
0.43,0.49,2,145,3,0,1,0,"hr",1
0.87,0.85,4,246,6,1,0,0,"hr",1
0.13,0.92,6,255,4,0,1,0,"technical",1
0.41,0.44,2,137,3,0,1,0,"technical",1
0.48,0.43,2,126,3,0,1,0,"technical",1
0.14,0.87,6,301,4,1,0,0,"technical",1
0.44,0.52,2,152,3,1,1,0,"technical",1
0.9,0.86,5,269,5,0,1,0,"technical",1
0.43,0.44,2,127,3,0,1,0,"technical",1
0.07,0.82,6,276,4,1,1,0,"technical",1
0.46,0.45,2,147,3,0,1,0,"support",1
0.47,0.53,2,135,3,0,1,0,"support",1
0.41,0.53,2,129,3,1,1,0,"support",1
0.4,0.44,2,140,3,0,1,0,"support",1
0.13,0.74,6,309,4,1,1,0,"technical",1
0.41,0.52,2,128,3,1,1,0,"technical",1
0.88,0.98,4,225,5,1,1,0,"technical",1
0.13,0.93,6,244,5,1,1,0,"IT",2
0.14,0.92,6,286,4,1,0,0,"IT",2
0.84,0.68,6,161,4,0,1,0,"IT",2
0.46,0.52,2,153,3,0,1,0,"product_mng",2
0.79,0.84,5,223,5,0,1,0,"product_mng",2
0.42,0.54,2,146,3,0,1,0,"accounting",1
0.41,0.47,2,146,3,0,0,0,"technical",1
0.82,0.57,4,139,3,0,1,1,"management",1
0.14,0.75,6,291,4,0,0,0,"marketing",1
0.14,0.8,6,305,4,1,0,0,"marketing",1
0.2,0.82,5,232,3,0,1,0,"sales",1
0.4,0.55,2,130,3,1,0,0,"sales",1
0.43,0.48,2,130,3,1,1,0,"sales",1
0.92,0.98,5,246,5,1,1,0,"sales",1
0.45,0.46,2,143,3,0,0,0,"sales",1
0.49,0.53,2,129,3,1,0,0,"sales",1
0.12,0.81,6,255,4,1,1,0,"sales",1
0.36,0.5,2,154,3,1,0,0,"sales",2
0.39,0.5,2,147,3,1,1,0,"sales",2
0.74,0.85,3,177,4,0,0,0,"hr",2
0.46,0.45,2,139,3,0,1,0,"hr",2
0.87,0.98,5,234,5,0,1,0,"technical",2
0.14,0.85,6,260,4,0,1,0,"support",1
0.41,0.47,2,132,3,0,0,0,"support",1
0.12,0.8,6,250,4,1,1,0,"support",1
0.08,0.81,6,292,4,0,1,0,"support",1
0.93,0.98,5,221,5,1,1,0,"support",1
0.39,0.48,2,132,3,1,1,0,"technical",1
0.34,0.82,7,133,5,0,1,0,"technical",1
0.13,0.77,6,283,4,1,0,0,"technical",1
0.45,0.46,2,124,3,1,1,0,"management",1
0.07,0.94,6,240,4,0,1,0,"IT",1
0.48,0.51,2,155,3,0,1,0,"IT",1
0.09,0.78,6,256,4,0,1,0,"IT",1
0.87,0.97,4,267,5,0,0,0,"product_mng",1
0.44,0.44,2,151,3,0,1,0,"product_mng",1
0.79,0.9,4,239,5,0,1,0,"product_mng",1
0.14,0.8,6,310,4,0,0,0,"IT",1
0.14,0.84,6,278,4,0,0,0,"marketing",1
0.48,0.54,2,154,3,1,1,0,"marketing",1
0.4,0.5,2,143,3,1,1,0,"marketing",1
0.14,0.78,6,304,4,0,1,0,"accounting",1
0.09,0.9,6,305,4,1,0,0,"technical",1
0.42,0.48,2,136,3,0,1,0,"management",1
0.13,0.93,7,301,4,0,1,0,"marketing",1
0.93,0.96,5,243,6,1,1,0,"marketing",1
0.48,0.49,2,147,3,0,0,0,"sales",1
0.82,0.82,5,239,5,0,1,0,"sales",1
0.34,0.47,5,132,5,1,1,0,"sales",1
0.35,0.48,2,135,5,1,1,0,"sales",1
0.49,0.55,2,158,3,0,1,0,"sales",1
0.44,0.44,2,160,3,0,0,1,"sales",1
0.14,0.76,7,278,4,0,1,0,"sales",1
0.44,0.41,2,148,3,0,1,0,"sales",1
0.41,0.48,2,140,3,0,1,0,"sales",2
0.14,0.83,6,308,5,0,1,0,"sales",2
0.43,0.45,2,150,3,0,1,0,"sales",2
0.39,0.53,2,141,3,1,1,0,"hr",2
0.43,0.39,2,127,3,0,1,0,"hr",2
0.4,0.53,2,152,3,1,1,0,"technical",2
0.47,0.49,2,156,3,1,1,0,"technical",3
0.12,0.78,7,283,5,0,0,0,"technical",1
0.95,0.85,4,226,6,1,1,0,"technical",2
0.77,0.89,4,232,5,1,1,0,"technical",2
0.13,0.89,6,287,4,0,1,0,"technical",1
0.13,0.82,7,285,4,0,0,0,"technical",1
0.75,0.92,5,221,6,1,1,0,"support",1
0.93,0.8,5,259,5,0,1,0,"support",1
0.42,0.48,2,135,3,0,0,0,"support",1
0.13,0.91,6,256,4,0,1,0,"support",1
0.41,0.5,2,153,3,1,1,0,"support",1
0.46,0.44,2,156,3,0,1,0,"technical",1
0.42,0.48,4,294,3,0,0,0,"technical",1
0.43,0.51,2,151,3,0,0,0,"IT",1
0.39,0.49,2,155,3,1,1,0,"IT",1
0.39,0.46,2,158,3,0,1,0,"IT",1
0.92,0.85,5,225,5,0,1,0,"product_mng",1
0.4,0.48,2,130,3,0,0,0,"product_mng",1
0.4,0.49,2,157,3,1,0,0,"product_mng",1
0.43,0.54,2,149,3,1,1,0,"accounting",1
0.93,0.9,4,258,5,0,1,0,"accounting",1
0.88,0.93,5,236,5,1,1,0,"hr",1
0.14,0.81,6,244,4,0,1,0,"accounting",1
0.45,0.49,2,129,3,0,0,0,"support",1
0.51,0.55,4,270,4,0,1,0,"technical",1
