"satisfaction_level","last_evaluation","number_project","average_monthly_hours","time_spend_company","Work_accident","left","promotion_last_5years","department","salary"
0.45,0.46,2,153,3,1,1,0,"sales",1
0.82,0.68,5,270,3,0,0,0,"technical",1
0.42,0.49,2,157,3,1,0,0,"sales",1
0.76,0.83,5,223,5,1,1,0,"sales",1
0.41,0.48,2,159,3,1,0,0,"sales",1
0.93,0.96,5,224,5,1,1,0,"sales",1
0.15,0.77,6,305,4,1,1,0,"sales",1
0.88,0.88,4,234,5,1,1,0,"sales",1
0.42,0.5,2,143,3,0,1,0,"sales",1
0.51,0.53,2,139,3,1,1,0,"sales",1
0.81,0.78,4,239,5,1,0,0,"sales",1
0.46,0.42,2,128,3,0,1,0,"accounting",1
0.42,0.46,2,132,3,0,1,0,"accounting",1
0.44,0.53,2,134,3,1,0,0,"hr",1
0.44,0.47,2,145,3,0,1,0,"hr",1
0.88,0.83,4,246,6,0,1,0,"hr",1
0.14,0.9,6,255,4,1,0,0,"technical",1
0.42,0.42,2,137,3,1,0,0,"technical",1
0.49,0.41,2,126,3,1,1,0,"technical",1
0.15,0.85,6,301,4,1,1,0,"technical",1
0.45,0.5,2,152,3,1,1,0,"technical",1
0.91,0.84,5,269,5,1,1,0,"technical",1
0.44,0.42,2,127,3,1,1,0,"technical",1
0.08,0.8,6,276,4,1,0,0,"technical",1
0.47,0.43,2,147,3,0,1,0,"support",1
0.48,0.51,2,135,3,1,0,0,"support",1
0.42,0.51,2,129,3,1,0,0,"support",1
0.41,0.42,2,140,3,1,1,0,"support",1
0.14,0.72,6,309,4,1,1,0,"technical",1
0.42,0.5,2,128,3,1,1,0,"technical",1
0.89,0.96,4,225,5,1,0,0,"technical",1
0.14,0.91,6,244,5,1,1,0,"IT",2
0.15,0.9,6,286,4,1,0,0,"IT",2
0.85,0.66,6,161,4,1,0,0,"IT",2
0.47,0.5,2,153,3,1,1,0,"product_mng",2
0.8,0.82,5,223,5,0,0,0,"product_mng",2
0.43,0.52,2,146,3,0,1,0,"accounting",1
0.42,0.45,2,146,3,0,0,0,"technical",1
0.83,0.55,4,139,3,1,1,1,"management",1
0.15,0.73,6,291,4,0,0,0,"marketing",1
0.15,0.78,6,305,4,1,0,0,"marketing",1
0.21,0.8,5,232,3,1,0,0,"sales",1
0.41,0.53,2,130,3,1,0,0,"sales",1
0.44,0.46,2,130,3,1,1,0,"sales",1
0.93,0.96,5,246,5,1,1,0,"sales",1
0.46,0.44,2,143,3,1,1,0,"sales",1
0.5,0.51,2,129,3,1,1,0,"sales",1
0.13,0.79,6,255,4,0,0,0,"sales",1
0.37,0.48,2,154,3,0,0,0,"sales",2
0.4,0.48,2,147,3,1,1,0,"sales",2
0.75,0.83,3,177,4,1,0,0,"hr",2
0.47,0.43,2,139,3,1,0,0,"hr",2
0.88,0.96,5,234,5,1,1,0,"technical",2
0.15,0.83,6,260,4,0,0,0,"support",1
0.42,0.45,2,132,3,1,0,0,"support",1
0.13,0.78,6,250,4,1,1,0,"support",1
0.09,0.79,6,292,4,0,1,0,"support",1
0.94,0.96,5,221,5,0,1,0,"support",1
0.4,0.46,2,132,3,1,1,0,"technical",1
0.35,0.8,7,133,5,1,1,0,"technical",1
0.14,0.75,6,283,4,1,1,0,"technical",1
0.46,0.44,2,124,3,0,0,0,"management",1
0.08,0.92,6,240,4,0,1,0,"IT",1
0.49,0.49,2,155,3,1,1,0,"IT",1
0.1,0.76,6,256,4,1,1,0,"IT",1
0.88,0.95,4,267,5,0,1,0,"product_mng",1
0.45,0.42,2,151,3,1,0,0,"product_mng",1
0.8,0.88,4,239,5,1,1,0,"product_mng",1
0.15,0.78,6,310,4,1,1,0,"IT",1
0.15,0.82,6,278,4,0,0,0,"marketing",1
